cycle,coherence,epsilon,epsilon_gw,phi_reconstructed,phi_pred,eps_pred,dphi,deps,entropy_flux,closure_energy,phase_shift,harmonic_ratio,resonance_intensity,harmonic_energy,d_coh,d_eff,gradient_magnitude,resonant_field,coherence_norm,epsilon_norm,resonant_field_norm,resonant_field_smooth,resonant_field_delta,rei
1,0.99146569,1082.58365205,0.108258365,0.6815886036902361,,,,,,1073.344547562473,,,,,,,,,1.0,0.0,,0.5136807567478974,-0.5136807567478974,0.8999992905455982
2,0.98850668,1085.24775626,0.108524776,0.6813563980700283,,,-0.0029590099999999,2.664104210000005,0.0011106960410115,1072.774656518022,-0.0011106955846936,0.9999987663558256,0.9988899210093434,1072.7733330958165,-0.0029590099999999,2.664104210000005,2.6641058532798447,-1785.2083828472769,0.9966807359686496,0.0002972954403761,0.9971140261790882,0.5136807490764213,0.4834332771026669,0.8999992905455982
3,0.98338259,1089.90412339,0.108990412,0.6811330905507567,,,-0.00512409,4.656367130000035,0.0011004480222115,1071.7927397109377,-0.0011004475782392,0.9999987890156165,0.9989001576921538,1071.7914417866673,-0.00512409,4.656367130000035,4.656369949396535,-3918.866019769157,0.990932797424879,0.0008169135211068,0.9948672407653316,0.5136807392180456,0.48118650154728604,0.8999992905455982
4,0.98026148,1092.7673484,0.109276735,0.6805323325817831,,,-0.0031211099999999,2.863225009999951,0.0010900680135194,1071.1977382382595,-0.0010900675821433,0.999998811753137,0.998910526325704,1071.1964653909074,-0.0031211099999999,2.863225009999951,2.8632267111105354,-1995.8818671635308,0.9874316980163308,0.0011364294533473,0.9968921826633168,0.5136807271593198,0.483211455503997,0.8999992905455982
5,0.98004366,1093.02022273,0.109302022,0.6800847463132451,,,-0.00021782,0.2528743299999405,0.0008613764755746,1071.2075395383242,-0.0008613762659427,0.999999258031112,0.9991389946120968,1071.2067447356574,-0.00021782,0.2528743299999405,0.2528744238124354,800.3259563766335,0.9871873588314992,0.0011646484640808,0.9998366470624064,0.5136807045747058,0.48615594248770055,0.8999992905455982
6,0.9712802,1101.1749224,0.110117492,0.6796917760165062,,,-0.0087634599999999,8.154699670000127,0.0010746514713674,1069.5493988636565,-0.0010746510578031,0.9999988451255484,0.9989259261728524,1069.5481636683812,-0.0087634599999999,8.154699670000127,8.15470437883136,-7652.300929969207,0.9773569636763026,0.0020746560457769,0.9909358569508464,0.5136806760227668,0.4772551809280796,0.8999992905455982
7,0.96372688,1108.33788558,0.110833789,0.6793886582468629,,,-0.00755332,7.162963179999906,0.0010544965552853,1068.1350124558105,-0.001054496164579,0.9999988880382512,0.9989460596211264,1068.133824730534,-0.00755332,7.162963179999906,7.16296716247376,-6582.873686941783,0.9688840408428956,0.0028739927552806,0.9920619858522828,0.513680640795741,0.47838134505654173,0.8999992905455982
8,0.95500467,1116.76813848,0.111676814,0.6790000326368881,,,-0.0087222099999999,8.430252900000141,0.0010346320688629,1066.5187875556069,-0.0010346316998073,0.9999989295376276,0.9989659033470284,1066.5176458873757,-0.0087222099999999,8.430252900000141,8.430257412138022,-7924.500643530668,0.9590999177994164,0.0038147501547024,0.9906492250491412,0.5136805981695054,0.4769686268796358,0.8999992905455982
9,0.94742261,1124.23817586,0.112423818,0.678053268280405,,,-0.0075820599999999,7.470037379999894,0.0010149962594946,1065.1286668349203,-0.0010149959110751,0.9999989697836542,0.9989855190230412,1065.1275695219574,-0.0075820599999999,7.470037379999894,7.470041227880173,-6891.41928775887,0.9505947559238092,0.0046483542022384,0.9917370809831046,0.513680548599533,0.4780565323835716,0.8999992905455982
10,0.93637625,1135.36420339,0.11353642,0.6778123824993282,,,-0.01104636,11.1260275300001,0.0009928395349752,1063.1280751545655,-0.0009928392088406,0.9999990142706292,0.9990076534929352,1063.127027197997,-0.01104636,11.1260275300001,11.126033013630211,-10765.259375089465,0.9382035218876456,0.0058899412399201,0.987657847626812,0.5136804918738641,0.47397735575294786,0.8999992905455982
